symbol,timestamp,ofi_integrated
AAPL,2024-10-21 11:54:00,-3.1423274049138468
AAPL,2024-10-21 11:55:00,-3.8651934054272603
AAPL,2024-10-21 11:56:00,-9.138281010907871
AAPL,2024-10-21 11:57:00,3.2129510939031616
AAPL,2024-10-21 11:58:00,-5.046861094097978
AAPL,2024-10-21 11:59:00,-9.061872885418582
AAPL,2024-10-21 12:00:00,-1.0802851081729075
AAPL,2024-10-21 12:01:00,-3.5223819035736956
AAPL,2024-10-21 12:02:00,-0.0769450913531593
AAPL,2024-10-21 12:03:00,0.7033317508628856
AAPL,2024-10-21 12:04:00,0.17930060114937063
AAPL,2024-10-21 12:05:00,-2.393972277931795
AAPL,2024-10-21 12:06:00,-1.1666652528227281
AAPL,2024-10-21 12:07:00,-12.037883094309901
AAPL,2024-10-21 12:08:00,5.158412907878855
AAPL,2024-10-21 12:09:00,2.993658128312111
AAPL,2024-10-21 12:10:00,-3.9635135680496143
AAPL,2024-10-21 12:11:00,36.25740039840884
AAPL,2024-10-21 12:12:00,2.398679722501367
AAPL,2024-10-21 12:13:00,-11.157155270087397
AAPL,2024-10-21 12:14:00,4.223840539329244
AAPL,2024-10-21 12:15:00,10.266409637592286
AAPL,2024-10-21 12:16:00,-12.264072671383879
AAPL,2024-10-21 12:17:00,-5.029670020805714
AAPL,2024-10-21 12:18:00,-7.130007519614535
AAPL,2024-10-21 12:19:00,-1.0493337419991335
AAPL,2024-10-21 12:20:00,0.7120856971958562
AAPL,2024-10-21 12:21:00,-2.51027951924333
AAPL,2024-10-21 12:22:00,9.21732009891179
AAPL,2024-10-21 12:23:00,-17.85080838366236
AAPL,2024-10-21 12:24:00,8.159485334874553
AAPL,2024-10-21 12:25:00,-15.375739953275271
AAPL,2024-10-21 12:26:00,-24.208196052607025
AAPL,2024-10-21 12:27:00,-11.478455186282229
AAPL,2024-10-21 12:28:00,-12.582022021809466
AAPL,2024-10-21 12:29:00,-24.603649022167016
AAPL,2024-10-21 12:30:00,17.210968429531295
AAPL,2024-10-21 12:31:00,3.029670068908171
AAPL,2024-10-21 12:32:00,-3.7965460036492744
AAPL,2024-10-21 12:33:00,-5.776917475732157
AAPL,2024-10-21 12:34:00,12.01568844262638
AAPL,2024-10-21 12:35:00,-6.32039583189163
AAPL,2024-10-21 12:36:00,-5.783018272494006
AAPL,2024-10-21 12:37:00,21.938156012164676
AAPL,2024-10-21 12:38:00,3.783478100264286
AAPL,2024-10-21 12:39:00,3.168378535297107
AAPL,2024-10-21 12:40:00,0.31716284058838107
AAPL,2024-10-21 12:41:00,-0.1693784638341066
AAPL,2024-10-21 12:42:00,-10.612953275237325
AAPL,2024-10-21 12:43:00,-7.408393300883074
AAPL,2024-10-21 12:44:00,-0.5866951109995823
AAPL,2024-10-21 12:45:00,-2.658696285177771
AAPL,2024-10-21 12:46:00,-4.7079017639228224
AAPL,2024-10-21 12:47:00,6.739942668086108
AAPL,2024-10-21 12:48:00,-8.057482968978348
AAPL,2024-10-21 12:49:00,4.505883175826487
AAPL,2024-10-21 12:50:00,23.620676550642475
AAPL,2024-10-21 12:51:00,37.15175071325134
AAPL,2024-10-21 12:52:00,7.400626796742932
AAPL,2024-10-21 12:53:00,1.7438648423199954
AAPL,2024-10-21 12:54:00,-2.6960343087933354
AAPL,2024-10-21 12:55:00,16.03951567931242
AAPL,2024-10-21 12:56:00,13.034528316259792
AAPL,2024-10-21 12:57:00,-1.3542700196433424
AAPL,2024-10-21 12:58:00,5.84537733965584
AAPL,2024-10-21 12:59:00,3.6968783821949467
AAPL,2024-10-21 13:00:00,-11.694795519808668
AAPL,2024-10-21 13:01:00,4.945085163952027
AAPL,2024-10-21 13:02:00,6.120560448622928
AAPL,2024-10-21 13:03:00,-4.112866475793445
AAPL,2024-10-21 13:04:00,-0.31915188041230236
