symbol,timestamp,ofi_best
AAPL,2024-10-21 11:54:00,-870.0
AAPL,2024-10-21 11:55:00,-1217.0
AAPL,2024-10-21 11:56:00,334.0
AAPL,2024-10-21 11:57:00,960.0
AAPL,2024-10-21 11:58:00,615.0
AAPL,2024-10-21 11:59:00,372.0
AAPL,2024-10-21 12:00:00,620.0
AAPL,2024-10-21 12:01:00,-798.0
AAPL,2024-10-21 12:02:00,-1000.0
AAPL,2024-10-21 12:03:00,-449.0
AAPL,2024-10-21 12:04:00,147.0
AAPL,2024-10-21 12:05:00,185.0
AAPL,2024-10-21 12:06:00,-3741.0
AAPL,2024-10-21 12:07:00,-950.0
AAPL,2024-10-21 12:08:00,978.0
AAPL,2024-10-21 12:09:00,203.0
AAPL,2024-10-21 12:10:00,9.0
AAPL,2024-10-21 12:11:00,-1.0
AAPL,2024-10-21 12:12:00,-1438.0
AAPL,2024-10-21 12:13:00,-920.0
AAPL,2024-10-21 12:14:00,-22.0
AAPL,2024-10-21 12:15:00,-2481.0
AAPL,2024-10-21 12:16:00,-4206.0
AAPL,2024-10-21 12:17:00,-1677.0
AAPL,2024-10-21 12:18:00,-3100.0
AAPL,2024-10-21 12:19:00,-3050.0
AAPL,2024-10-21 12:20:00,-1995.0
AAPL,2024-10-21 12:21:00,0.0
AAPL,2024-10-21 12:22:00,141.0
AAPL,2024-10-21 12:23:00,-464.0
AAPL,2024-10-21 12:24:00,-178.0
AAPL,2024-10-21 12:25:00,84.0
AAPL,2024-10-21 12:26:00,337.0
AAPL,2024-10-21 12:27:00,24.0
AAPL,2024-10-21 12:28:00,-593.0
AAPL,2024-10-21 12:29:00,-1018.0
AAPL,2024-10-21 12:30:00,-1410.0
AAPL,2024-10-21 12:31:00,-3621.0
AAPL,2024-10-21 12:32:00,-4012.0
AAPL,2024-10-21 12:33:00,-2375.0
AAPL,2024-10-21 12:34:00,-4642.0
AAPL,2024-10-21 12:35:00,891.0
AAPL,2024-10-21 12:36:00,-287.0
AAPL,2024-10-21 12:37:00,-302.0
AAPL,2024-10-21 12:38:00,-3503.0
AAPL,2024-10-21 12:39:00,-1103.0
AAPL,2024-10-21 12:40:00,-2976.0
AAPL,2024-10-21 12:41:00,-3655.0
AAPL,2024-10-21 12:42:00,-15.0
AAPL,2024-10-21 12:43:00,-193.0
AAPL,2024-10-21 12:44:00,-3507.0
AAPL,2024-10-21 12:45:00,-191.0
AAPL,2024-10-21 12:46:00,178.0
AAPL,2024-10-21 12:47:00,-2327.0
AAPL,2024-10-21 12:48:00,-1125.0
AAPL,2024-10-21 12:49:00,-307.0
AAPL,2024-10-21 12:50:00,180.0
AAPL,2024-10-21 12:51:00,-414.0
AAPL,2024-10-21 12:52:00,-138.0
AAPL,2024-10-21 12:53:00,-1180.0
AAPL,2024-10-21 12:54:00,-185.0
AAPL,2024-10-21 12:55:00,-1908.0
AAPL,2024-10-21 12:56:00,215.0
AAPL,2024-10-21 12:57:00,25.0
AAPL,2024-10-21 12:58:00,195.0
AAPL,2024-10-21 12:59:00,-49.0
AAPL,2024-10-21 13:00:00,-1007.0
AAPL,2024-10-21 13:01:00,-1137.0
AAPL,2024-10-21 13:02:00,-6296.0
AAPL,2024-10-21 13:03:00,171.0
AAPL,2024-10-21 13:04:00,-196.0
