symbol,timestamp,ofi_lv0,ofi_lv1,ofi_lv2,ofi_lv3,ofi_lv4,ofi_lv5,ofi_lv6,ofi_lv7,ofi_lv8,ofi_lv9
AAPL,2024-10-21 11:54:00,-4.920801084587531,3.206397693535378,5.022738583514956,-1.4456590756980316,-0.5652897667793585,5.374886307082425,0.4077499957097012,-2.28896020318855,6.273789706715176,5.467556760652812
AAPL,2024-10-21 11:55:00,-11.204577054601481,16.26827251888317,16.765435346285372,-2.1727856901281424,-3.498553229867348,6.7945586411634284,-7.264101311487731,1.4822817631806395,12.778926008041788,-5.339897035060689
AAPL,2024-10-21 11:56:00,3.047986007249867,-5.229029886689142,17.311465436386218,-5.338538365991533,5.9499607087632125,-2.4821921975208494,-0.5840452229460823,7.756850617252655,-1.314101751628685,2.3088037719587313
AAPL,2024-10-21 11:57:00,8.51099759361675,5.78925148815806,2.9699835352725117,1.8174526111369103,-15.647823700764128,8.741503778443871,-4.4682737366487935,-3.3600709249799463,14.778992696415752,-2.0834212859374337
AAPL,2024-10-21 11:58:00,5.358387546468401,0.15683085501858735,9.122328066914498,5.140566914498141,-0.35722583643122674,-10.307272304832713,10.376974907063197,-0.9671236059479553,4.940171933085502,21.389986059479554
AAPL,2024-10-21 11:59:00,3.4096705632306055,21.402098831030816,8.17587672688629,-20.155552603613177,-2.401434643995749,5.5086344314558975,4.27125398512221,-0.6782678002125399,10.83395324123273,5.416976620616365
AAPL,2024-10-21 12:00:00,4.689543075319952,7.0570059504411535,11.406178963842722,3.9558564974069914,-5.120678487083238,2.2993888627375245,-0.688303902990509,-1.6867227512844343,17.01850309591918,-17.321054262068852
AAPL,2024-10-21 12:01:00,-5.716693706411581,3.352647436842882,18.024061861317715,14.062493415646534,2.0488401002928724,-4.599144560797287,10.724173531952552,-6.827079075451424,5.573418174922569,5.079117591285478
AAPL,2024-10-21 12:02:00,-6.487251567752462,-2.9841357211661323,6.273172266016631,7.992293931471033,-3.2890365448504983,2.5365153629912127,9.043228685446932,-8.323143761426408,14.550905266468773,-6.649432856946273
AAPL,2024-10-21 12:03:00,-2.923720930232558,2.441860465116279,7.61860465116279,8.673488372093022,-4.395348837209302,4.551627906976744,5.176744186046511,-8.250232558139535,13.225116279069766,-12.886511627906975
AAPL,2024-10-21 12:04:00,1.0155848329048842,0.642512853470437,1.5475578406169666,8.40793701799486,-1.9758997429305913,-1.7410025706940875,1.9551735218508997,-3.4267352185089974,-0.18653598971722365,-7.261086118251928
AAPL,2024-10-21 12:05:00,0.9689724859092257,-3.509251705725304,0.9794478641352714,11.920980421239987,8.09222967962029,-0.199032186294868,19.049475304064075,10.993909448234945,-11.842415084544644,5.075320750519134
AAPL,2024-10-21 12:06:00,-18.706825056103032,12.226192799297491,-3.4453361303541805,10.035979119914137,10.210996194750706,3.2853205190750314,3.910381500634208,-1.3651331837252414,3.6853595472729044,-8.945872768074933
AAPL,2024-10-21 12:07:00,-4.81517915200827,-20.26936992513797,28.60216416292912,2.4886873301432217,13.061807026026644,-8.520332794237792,10.735315204161594,7.020024342664688,-23.219300731947246,0.4257632092302049
AAPL,2024-10-21 12:08:00,4.730205862095355,-28.594046070253313,4.386806459018903,11.956103160633658,-3.869289048748757,23.220570903803477,-13.711793066503406,25.00528047753884,-8.87518175556746,4.1643223387158494
AAPL,2024-10-21 12:09:00,0.8468783595141441,-12.215073086982335,-2.1317972498114663,9.962293214383134,3.404200696372126,23.049275548352938,-12.377773855558944,2.223577170546989,15.172889623413507,16.82910001123181
